IfcWindow,AR,FIN*BIL-CER-FIS-OSC-PER-PIE-PRT-RIB-ROT-SCO-TAS,XX_XXX_XXX_Xxxnn_nA
IfcDoor,AR,POR*BAT-BIL-CER-OSC-PIE-PRT-ROT-SCO-TAS,XX_XXX_XXX_Xxxnn_nA
