Attrezzatura meccanica,OST_MechanicalEquipment,IfcUnitaryEquipment,AIRCONDITIONINGUNIT,Fancoil
Attrezzatura meccanica,OST_MechanicalEquipment,IfcAirTerminalBox,VARIABLEFLOWPRESSUREDEPENDANT,Vav
Bocchettoni,OST_DuctTerminal,IfcAirTerminal,DIFFUSER,Diffusori
Accessori per tubazioni,OST_DuctAccessory,IfcValve,Regulating,Valvole
Tubazioni,OST_PipeCurves,IfcPipeSegment,RIGIDSEGMENT,Tubazioni
Tubazioni Flessibili,OST_FlexPipeCurves,IfcPipeSegment,FLEXIBLESEGMENT,Tubazioni Flessibili
Raccordi tubazione,OST_PipeFitting,IfcPipeFitting,BEND,Gomito
Raccordi tubazione,OST_PipeFitting,IfcPipeFitting,JUNCTION,Tee
Raccordi tubazione,OST_PipeFitting,IfcPipeFitting,TRANSITION,Transizione
Raccordi tubazione,OST_PipeFitting,IfcPipeFitting,USERDEFINED,Calotta
Raccordi tubazione,OST_PipeFitting,IfcPipeFitting,JUNCTION,Unione
Isolamento tubazioni,OST_PipeInsulations,IfcCovering,INSULATION,Isolante tubazioni
Telaio Strutturale,OST_StructuralFraming,IfcBeam,BEAM,Trave
Pilastri strutturali,OST_StructuralColumns,IfcColumn,COLUMN,Pilastri
Collegamenti strutturali,OST_StructConnections,IfcMember,MEMBER,Collegamenti strutturali
Pavimenti,OST_Floors,IfcSlab,FLOOR,Solaio
Muri,OST_Walls,IfcWall,STANDARD,Muri
Muri,OST_Walls,IfcWall,STANDARD,Muri
Finestre,OST_Windows,IfcWindow,WINDOW,Finestre
Colonna,OST_Columns,IfcColumn,COLUMN,Colonne
Controsoffitto,OST_Ceilings,IfcCovering,CEILING,Controsoffitto
Controsoffitto composto,OST_Ceilings,IfcCovering,CEILING,Controsoffitto
Pannelli di facciata continua,OST_CurtainWallPanels,IfcCovering,CEILING,Controsoffitto
Muri,OST_Walls,IfcCurtainWall,USERDEFINED,Facciata Continua
Porte,OST_Doors,IfcDoor,DOOR,Porte
Arredi,OST_Furniture,IfcFurniture,CHAIR,Sedie
Arredi,OST_Furniture,IfcFurniture,DESK,Banchi
Arredi,OST_Furniture,IfcFurniture,NOTDEFINED,Ingombri
Arredi,OST_Furniture,IfcFurniture,TABLE,Tavoli
Arredi,OST_Furniture,IfcFurniture,USERDEFINED,Arredo Controlli
Arredi,OST_Furniture,IfcFurniture,WORKSURFACE,Piano Lavabo
Arredi,OST_Furniture,IfcFurniture,PANEL,Separatore vetro
Attrezzature speciali,OST_SpecialityEquipment,IfcConveyorSegment,BELTCONVEYOR,Rampa mobile
Attrezzature speciali,OST_SpecialityEquipment,IfcTransportElement,ELEVATOR,Ascensore
Modelli generici,OST_GenericModel,IfcBuildingElementProxy,PROVISIONFORVOID,Vuoti
Modelli generici,OST_GenericModel,IfcBuildingElementProxy,ELEMENT,Maniglie
Modelli generici,OST_GenericModel,IfcMember,USERDEFINED,Decoro
Montanti di facciata continua,OST_CurtainWallMullions,IfcMember,MULLION,Montanti facciata continua
Pannelli di sistema,OST_CurtainWallPanels,IfcPlate,CURTAIN_PANEL,Pannelli di facciata continua
Ringhiera,OST_StairsRailingBaluster,IfcRailing,BALUSTRADE,Balaustra
Ringhiera,OST_StairsRailingRail,IfcRailing,HANDRAIL,Corrimano
Tetto di base,OST_Roofs,IfcRoof,FLAT_ROOF,Tetto Piano
Tetti: fasce,OST_Fascia,IfcRoof,USERDEFINED,Fasce
Pavimento,OST_Floors,IfcSlab,FLOOR,Pavimenti
Bordo solaio,OST_EdgeSlab,IfcSlab,USERDEFINED,Finitura solaio
Scala,OST_Stairs,IfcStair,USERDEFINED,Scale
Scale: Pianerottoli,OST_StairsLandings,IfcStairFlight,USERDEFINED,Scale
Scale: Rampa,OST_StairsRuns,IfcStairFlight,USERDEFINED,Scale
Scale: Supporti,OST_StairsSupports,IfcStairFlight,STRAIGHT,Scale
Scale: Montanti,IfcStairFlight,STRAIGHT,Scale
