Disciplina,AC~AM~AR~CA~EC~GN~GO~ID~IE~IM~IS~PA~PI~RL~SC~SE~SS~ST~TM~TR~UR~VI
Fase,ES~FA~PF~PP~PD~PE~AB~DL~CO~XX
Piano,P-2~P-1~P00~PM0~P01~P02~PC1
